McID,StatusID,TimeStamp
Machine_1,1,2018-03-14T21:01:13.587Z
Machine_1,0,2018-03-14T21:01:55.867Z
Machine_0,10,2018-03-14T21:01:58.843Z
Machine_0,0,2018-03-14T21:01:58.850Z
Machine_2,7,2018-03-14T21:02:12.493Z
Machine_1,10,2018-03-14T21:02:20.147Z
Machine_0,10,2018-03-14T21:02:27.130Z
Machine_2,9,2018-03-14T21:02:54.637Z
Machine_0,7,2018-03-14T21:05:10.490Z
Machine_3,4,2018-03-14T21:05:18.787Z
Machine_1,1,2018-03-14T21:05:26.023Z
Machine_0,7,2018-03-14T21:05:46.330Z
Machine_0,10,2018-03-14T21:05:53.913Z
Machine_0,7,2018-03-14T21:05:55.640Z
Machine_0,9,2018-03-14T21:06:50.293Z
Machine_2,9,2018-03-14T21:07:02.297Z
Machine_1,9,2018-03-14T21:07:12.607Z
Machine_1,1,2018-03-14T21:07:22.237Z
Machine_3,0,2018-03-14T21:07:37.400Z
Machine_3,1,2018-03-14T21:07:37.540Z
Machine_5,1,2018-03-14T21:08:10.433Z
Machine_0,7,2018-03-14T21:08:12.790Z
Machine_0,10,2018-03-14T21:08:20.340Z
Machine_1,9,2018-03-14T21:08:34.917Z
Machine_1,1,2018-03-14T21:08:44.547Z
Machine_0,10,2018-03-14T21:09:00.297Z
Machine_0,10,2018-03-14T21:09:16.223Z
Machine_1,1,2018-03-14T21:09:24.567Z
Machine_1,10,2018-03-14T21:09:38.327Z
Machine_2,1,2018-03-14T21:09:45.800Z
Machine_1,9,2018-03-14T21:10:25.467Z
Machine_1,1,2018-03-14T21:10:42.177Z
Machine_2,9,2018-03-14T21:10:52.967Z
Machine_1,7,2018-03-14T21:11:01.657Z
Machine_5,0,2018-03-14T21:11:19.723Z
Machine_2,7,2018-03-14T21:12:21.633Z
Machine_2,7,2018-03-14T21:16:53.627Z
Machine_0,0,2018-03-14T21:19:01.337Z
Machine_0,7,2018-03-14T21:19:51.307Z
Machine_2,9,2018-03-14T21:20:28.190Z
Machine_2,0,2018-03-14T21:20:37.117Z
Machine_0,0,2018-03-14T21:20:38.050Z
Machine_1,7,2018-03-14T21:24:32.823Z
Machine_0,9,2018-03-14T21:27:09.207Z
Machine_0,7,2018-03-14T21:27:11.473Z
Machine_4,1,2018-03-14T21:27:11.600Z
Machine_2,10,2018-03-14T21:29:16.093Z
Machine_0,9,2018-03-14T21:29:27.390Z
Machine_2,9,2018-03-14T21:29:45.063Z
Machine_1,1,2018-03-14T21:29:57.237Z
Machine_2,10,2018-03-14T21:31:02.360Z
Machine_0,7,2018-03-14T21:33:07.790Z
Machine_1,9,2018-03-14T21:33:13.883Z
Machine_0,7,2018-03-14T21:33:28.527Z
Machine_1,1,2018-03-14T21:33:34.820Z
Machine_1,1,2018-03-14T21:33:35.940Z
Machine_0,10,2018-03-14T21:33:54.563Z
Machine_2,9,2018-03-14T21:34:54.533Z
Machine_1,1,2018-03-14T21:35:18.777Z
Machine_1,7,2018-03-14T21:35:22.423Z
Machine_0,9,2018-03-14T21:37:04.480Z
Machine_0,1,2018-03-14T21:37:33.543Z
Machine_0,10,2018-03-14T21:37:34.010Z
Machine_0,0,2018-03-14T21:38:37.127Z
Machine_1,7,2018-03-14T21:38:48.373Z
Machine_1,0,2018-03-14T21:39:06.660Z
Machine_2,0,2018-03-14T21:39:07.523Z
Machine_0,7,2018-03-14T21:39:36.763Z
Machine_0,9,2018-03-14T21:40:12.010Z
Machine_0,10,2018-03-14T21:40:41.633Z
Machine_4,9,2018-03-14T21:40:57.563Z
Machine_2,9,2018-03-14T21:41:02.443Z
Machine_0,7,2018-03-14T21:41:26.087Z
Machine_0,1,2018-03-14T21:41:57.447Z
Machine_1,0,2018-03-14T21:41:58.320Z
Machine_1,1,2018-03-14T21:42:26.490Z
Machine_2,9,2018-03-14T21:42:29.213Z
Machine_0,10,2018-03-14T21:42:42.680Z
Machine_2,1,2018-03-14T21:43:02.953Z
Machine_0,10,2018-03-14T21:43:27.150Z
Machine_0,3,2018-03-14T21:44:20.537Z
Machine_1,7,2018-03-14T21:44:21.990Z
Machine_2,10,2018-03-14T21:44:31.937Z
Machine_2,7,2018-03-14T21:44:33.560Z
Machine_0,7,2018-03-14T21:44:46.387Z
Machine_1,1,2018-03-14T21:45:10.657Z
Machine_0,1,2018-03-14T21:45:12.227Z
Machine_0,7,2018-03-14T21:45:14.477Z
Machine_1,9,2018-03-14T21:45:20.233Z
Machine_1,1,2018-03-14T21:45:42.290Z
Machine_1,0,2018-03-14T21:46:13.127Z
Machine_2,0,2018-03-14T21:46:20.450Z
Machine_0,10,2018-03-14T21:46:47.287Z
Machine_1,7,2018-03-14T21:46:48.087Z
Machine_2,10,2018-03-14T21:47:02.250Z
Machine_1,7,2018-03-14T21:47:19.443Z
Machine_1,7,2018-03-14T21:47:29.587Z
Machine_2,0,2018-03-14T21:47:37.387Z
Machine_1,1,2018-03-14T21:47:47.123Z
Machine_1,0,2018-03-14T21:48:18.983Z
Machine_2,10,2018-03-14T21:48:47.337Z
Machine_0,10,2018-03-14T21:49:02.907Z
Machine_2,0,2018-03-14T21:49:26.560Z
Machine_2,7,2018-03-14T21:49:28.557Z
Machine_0,10,2018-03-14T21:49:53.480Z
Machine_1,1,2018-03-14T21:50:22.743Z
Machine_1,0,2018-03-14T21:50:22.747Z
Machine_1,1,2018-03-14T21:50:23.957Z
Machine_0,1,2018-03-14T21:51:10.753Z
Machine_2,10,2018-03-14T21:51:16.007Z
Machine_2,9,2018-03-14T21:51:17.257Z
Machine_1,0,2018-03-14T21:52:22.773Z
Machine_1,7,2018-03-14T21:52:59.483Z
Machine_0,10,2018-03-14T21:53:02.567Z
Machine_2,10,2018-03-14T21:53:11.160Z
Machine_1,9,2018-03-14T21:53:53.083Z
Machine_0,9,2018-03-14T21:53:57.047Z
Machine_5,7,2018-03-14T21:54:07.167Z
Machine_1,1,2018-03-14T21:54:14.460Z
Machine_0,10,2018-03-14T21:54:26.443Z
Machine_2,7,2018-03-14T21:54:41.897Z
Machine_1,0,2018-03-14T21:54:55.600Z
Machine_1,7,2018-03-14T21:54:59.290Z
Machine_0,9,2018-03-14T21:55:32.060Z
Machine_2,1,2018-03-14T21:55:40.210Z
